term,window,course,section,instructor,smux,median,min_succ,vacancy,open_quota,bef_proc,aft_proc,enrolled
2025-26 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G1,WHITNEY ZHANG WEI,0,14.89,10.03,48,48,22,7,41
2025-26 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G2,WHITNEY ZHANG WEI,0,14.89,10.01,48,48,22,1,47
2025-26 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G3,WHITNEY ZHANG WEI,0,15.06,10.00,48,48,26,6,42
2025-26 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G4,WHITNEY ZHANG WEI,0,14.00,10.01,48,48,25,8,40
2025-26 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G5,VENKAT,0,17.00,13.10,48,48,25,14,34
2025-26 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G6,VENKAT,0,15.05,10.50,48,48,25,16,32
2025-26 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G7,DON CHEN,0,15.88,13.08,48,48,22,2,46
2025-26 T1,Incoming Freshmen Rnd 1 Win 2,COR1703,G1,WHITNEY ZHANG WEI,0,12.21,10.00,48,48,8,5,43
2025-26 T1,Incoming Freshmen Rnd 1 Win 2,COR1703,G2,WHITNEY ZHANG WEI,0,,,48,48,2,2,46
2025-26 T1,Incoming Freshmen Rnd 1 Win 2,COR1703,G3,WHITNEY ZHANG WEI,0,16.12,10.02,48,48,9,4,44
2025-26 T1,Incoming Freshmen Rnd 1 Win 2,COR1703,G4,WHITNEY ZHANG WEI,0,22.41,15.07,48,48,8,0,48
2025-26 T1,Incoming Freshmen Rnd 1 Win 2,COR1703,G5,VENKAT,0,22.88,17.00,48,48,14,3,45
2025-26 T1,Incoming Freshmen Rnd 1 Win 2,COR1703,G6,VENKAT,0,22.00,20.00,48,48,16,9,39
2025-26 T1,Incoming Freshmen Rnd 1 Win 2,COR1703,G7,DON CHEN,0,27.55,27.54,48,48,3,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G1,WHITNEY ZHANG WEI,0,15.56,10.01,48,48,23,10,38
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G2,WHITNEY ZHANG WEI,0,14.00,10.50,48,48,23,8,40
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G3,WHITNEY ZHANG WEI,0,12.53,10.03,48,48,22,10,38
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G4,WHITNEY ZHANG WEI,0,13.67,10.71,48,48,23,6,42
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G5,VENKAT,0,16.52,15.98,48,48,24,20,28
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G6,VENKAT,0,14.00,10.06,48,48,25,22,26
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR1703,G7,DON CHEN,0,13.33,13.33,48,48,32,30,18
