term,window,course,section,instructor,smux,median,min_succ,vacancy,open_quota,bef_proc,aft_proc,enrolled
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G1,ROSIE CHING,1,15.51,10.67,48,48,47,23,25
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G2,ROSIE CHING,1,16.17,13.00,48,48,36,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G3,ROSIE CHING,1,12.70,10.69,48,48,44,28,20
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G4,ROSIE CHING,1,15.70,12.15,48,48,37,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G5,ROSIE CHING,1,16.34,12.00,48,48,48,34,14
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G6,LIU SHEW FAN,0,35.17,34.92,48,48,36,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G7,LIU SHEW FAN,0,35.00,33.67,48,48,36,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G8,QIU YUE,0,19.68,10.00,48,48,39,23,25
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G9,QIU YUE,0,28.90,10.00,48,48,37,19,29
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G10,WU ZHENGXIAO,0,28.00,10.21,48,48,36,5,43
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G11,WU ZHENGXIAO,0,25.02,15.10,48,48,41,8,40
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G12,WU ZHENGXIAO,0,28.29,20.35,48,48,40,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G13,WU ZHENGXIAO,0,28.04,11.14,48,48,41,7,41
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G14,DANIEL SOH,0,32.00,25.70,48,48,37,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G15,DANIEL SOH,0,30.70,18.00,48,48,41,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G16,GAN CHUI GOH,0,20.60,10.03,48,48,40,28,20
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G17,GAN CHUI GOH,0,19.56,10.77,48,48,39,17,31
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G18,GAN CHUI GOH,0,21.00,14.88,48,48,41,32,16
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G19,RAYMOND TEO,0,41.99,37.68,48,48,36,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G20,RAYMOND TEO,0,39.75,29.50,48,48,34,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G21,RAYMOND TEO,0,37.99,20.50,48,48,36,5,43
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G22,RAYMOND TEO,0,38.67,18.99,48,48,36,7,41
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G23,SHIN SOMI,0,29.70,28.88,48,48,36,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G24,SHIN SOMI,0,28.87,27.00,48,48,48,0,48
2026-27 T1,Incoming Freshmen Rnd 1 Win 1,COR-STAT1202,G25,YEO KENG LEONG,0,29.40,27.33,48,48,40,27,21
